11,11,11,22,22,11,11,11,22,11,11,11,15,11,11,0,17,17,23,23,23,23,23,23,23,23,22,22,23,22
11,11,11,22,11,11,11,11,22,11,11,11,15,11,11,0,17,17,17,17,17,17,17,17,17,22,22,22,23,22
11,11,11,22,11,11,11,11,22,11,11,11,15,11,11,0,23,23,17,17,17,17,17,17,17,22,22,17,23,23
11,11,11,23,23,11,11,11,22,11,11,11,15,11,11,0,11,23,23,23,23,17,17,17,23,23,23,17,22,23
11,11,23,23,23,11,11,11,22,11,11,11,25,33,33,10,17,17,17,17,17,17,17,17,17,17,17,17,22,23
11,11,23,11,23,11,11,11,22,11,11,11,25,66,67,10,2,2,2,2,2,2,15,23,17,17,17,17,22,23
11,11,23,11,23,11,11,22,11,11,11,11,25,60,60,60,17,77,60,60,84,17,15,23,17,17,17,17,22,23
11,11,23,23,23,22,11,22,11,11,11,11,25,60,74,60,60,17,17,17,17,60,15,17,17,23,17,17,22,23
11,11,23,23,22,22,11,22,11,11,11,11,41,41,41,41,41,41,41,41,41,41,45,17,23,23,23,17,22,23
11,11,23,23,22,22,22,11,11,11,11,11,22,23,23,23,23,23,23,23,23,23,23,23,23,23,23,17,22,23
11,11,23,23,22,22,22,11,11,11,11,22,22,22,22,22,23,23,23,23,17,17,17,17,17,17,23,17,22,23
11,11,23,23,23,22,22,22,11,11,11,22,22,22,22,22,22,22,23,23,23,23,23,23,23,23,23,23,23,23
11,11,11,23,23,11,22,22,22,11,22,22,22,22,22,22,22,22,22,22,23,23,22,22,23,23,23,22,23,23
11,11,11,23,23,23,11,11,22,22,22,22,22,22,22,22,22,23,23,23,23,23,23,23,22,23,23,23,23,23
11,11,11,22,23,11,23,23,23,23,23,23,23,23,23,23,23,22,22,22,22,22,22,22,23,23,23,23,23,23
11,11,11,22,23,23,22,22,22,11,11,11,22,22,22,22,22,22,22,22,22,22,23,23,23,22,22,23,23,22
11,11,11,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,22,22,22,22,22,22,22,22
11,11,11,11,11,11,11,11,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22
11,11,11,22,22,22,22,22,22,22,22,11,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22
11,11,11,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22
